Mr. Bean;1990;8.5;
Kenshin, el guerrero samurái;1996;8.5;
Spartacus: Dioses de la arena;2011;8.5;
Luther;2010;8.5;
Ghost in the Shell: Stand Alone Complex;2002;8.5;
Black Books;2000;8.5;
American Crime Story;2016;8.5;
Hannibal;2013;8.5;
Ash vs Evil Dead;2015;8.5;
I'm Alan Partridge;1997;8.5;
Detectorists;2014;8.5;
Futurama;1999;8.5;
Desaparecido;2016;8.5;
Jesús de Nazaret;1977;8.5;
Hijos de la anarquía;2008;8.5;
The Colbert Report;2005;8.5;
La leyenda de Korra;2012;8.5;
The Venture Bros.;2003;8.5;
Wentworth;2013;8.5;
Endeavour;2012;8.5;
The Knick;2014;8.5;
Spartacus: Sangre y arena;2010;8.5;
Taboo;2017;8.5;
Community;2009;8.5;
Suits;2011;8.5;
Behzat Ç.: An Ankara Policeman;2010;8.5;
Line of Duty;2012;8.5;
Kardes Payi;2014;8.5;
One Piece;1999;8.5;
The Angry Video Game Nerd;2004;8.4;
X-Men;1992;8.4;
Secretos de un matrimonio;1973;8.4;
Escuadrón de policía;1982;8.4;
Hijos del Tercer Reich;2013;8.4;
Garth Marenghi's Darkplace;2004;8.4;
Carnivàle;2003;8.4;
Happy Valley;2014;8.4;
Inside Look: The People v. O.J. Simpson, American Crime Story;2016;8.4;
Samurai Jack;2001;8.4;
La sombra del poder;2003;8.4;
Utopía;2013;8.4;
The Terror;2018;8.4;
Modern Family;2009;8.4;
BoJack Horseman;2014;8.4;
Permanent Roommates;2014;8.4;
El séquito;2004;8.4;
Borgen;2010;8.4;
Inside No. 9;2014;8.4;
Clannad: After Story;2008;8.4;
Doctor Who;1963;8.4;
Los Teleñecos;1976;8.4;
Jeeves y Wooster;1990;8.4;
Mushishi;2005;8.4;
Raíces;1977;8.4;
Legión;2017;8.4;
Parasyte;2014;8.4;
Isler Gucler;2012;8.3;
Southland;2009;8.3;
Enano rojo;1988;8.3;
Sobrenatural;2005;8.3;
Fringe (Al límite);2008;8.3;
Godless;2017;8.3;
Una mujer de acero;1991;8.3;
Dragon Ball Kai;2009;8.3;
El reino;1994;8.3;
Perdidos;2004;8.3;
Broadchurch;2013;8.3;
Vigilados: Person of Interest;2011;8.3;
Scrubs;2001;8.3;
The Inbetweeners;2008;8.3;
Naruto: Shippûden;2007;8.3;
Breathe;2018;8.3;
Billions;2016;8.3;
Boku no Hero Academia;2016;8.3;
The Good Fight;2017;8.3;
Star Trek;1966;8.3;
Criando malvas;2007;8.3;
Banshee;2013;8.3;
Stargate SG-1;1997;8.3;
El show de Larry Sanders;1992;8.3;
Terriers;2010;8.3;
Olive Kitteridge;2014;8.3;
24;2001;8.3;
